Name,Value,URL,Target Value,Total Value,Elapsed Time (s),Target Value Log,Total Value Log,Elapsed Time Log,Results Log
TEST_329437 ,117.9506031,329437_v117.9506031,1690,1689.7399606,1.2125895023345947,目標值: 1690,結果加總: 1689.7399606,所用時間: 1.21 秒,"[('TEST_329437 ', 117.9506031, '329437_v117.9506031'), ('TEST_490368', 1068.9105903, '490368_v1068.9105903'), ('TEST_11385', 430.9303261, '11385_v430.9303261'), ('TEST_12586  ', 71.9484411, '12586_v71.9484411')]"
TEST_245445,370.9941613,245445_v370.9941613,1899,1898.9152055,4.839974403381348,目標值: 1899,結果加總: 1898.9152055,所用時間: 4.84 秒,"[('TEST_245445', 370.9941613, '245445_v370.9941613'), ('TEST_197142', 1222.9953613, '197142_v1222.9953613'), ('TEST_222792 ', 60.9977355, '222792_v60.9977355'), ('TEST_274673', 243.9279474, '274673_v243.9279474')]"
TEST_434590 ,132.9470804,434590_v132.9470804,617,616.7925396,2.676485538482666,目標值: 617,結果加總: 616.7925396,所用時間: 2.68 秒,"[('TEST_434590 ', 132.9470804, '434590_v132.9470804'), ('TEST_483156', 230.9441497, '483156_v230.9441497'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106'), ('TEST_77163', 232.9624989, '77163_v232.9624989')]"
TEST_427298,928.9482818,427298_v928.9482818,1628,1627.8892822,3.08488130569458,目標值: 1628,結果加總: 1627.8892822,所用時間: 3.08 秒,"[('TEST_427298', 928.9482818, '427298_v928.9482818'), ('TEST_97252', 299.9668334, '97252_v299.9668334'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507'), ('TEST_16279', 377.9895163, '16279_v377.9895163')]"
TEST_393156,385.9625999,393156_v385.9625999,973,972.7853449,2.7616350650787354,目標值: 973,結果加總: 972.7853449,所用時間: 2.76 秒,"[('TEST_393156', 385.9625999, '393156_v385.9625999'), ('TEST_232244', 521.9324133, '232244_v521.9324133'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_336193 ', 54.9057942, '336193_v54.9057942')]"
TEST_97506  ,180.9710942,97506_v180.9710942,246,245.87789,1.3613429069519043,目標值: 246,結果加總: 245.87789,所用時間: 1.36 秒,"[('TEST_97506  ', 180.9710942, '97506_v180.9710942'), ('TEST_463565 ', 16.9729581, '463565_v16.9729581'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106'), ('TEST_69899  ', 27.9950271, '69899_v27.9950271')]"
TEST_409842 ,81.9990051,409842_v81.9990051,777,776.9433521,1.1489272117614746,目標值: 777,結果加總: 776.9433521,所用時間: 1.15 秒,"[('TEST_409842 ', 81.9990051, '409842_v81.9990051'), ('TEST_246583', 598.9786901, '246583_v598.9786901'), ('TEST_463565 ', 16.9729581, '463565_v16.9729581'), ('TEST_175275 ', 78.9926988, '175275_v78.9926988')]"
TEST_170970 ,124.9642564,170970_v124.9642564,438,437.8552853,0.9265241622924805,目標值: 438,結果加總: 437.8552853,所用時間: 0.93 秒,"[('TEST_170970 ', 124.9642564, '170970_v124.9642564'), ('TEST_416829 ', 104.9397563, '416829_v104.9397563'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_349459 ', 197.9667351, '349459_v197.9667351')]"
TEST_175275 ,78.9926988,175275_v78.9926988,223,222.8303932,2.974527597427368,目標值: 223,結果加總: 222.8303932,所用時間: 2.97 秒,"[('TEST_175275 ', 78.9926988, '175275_v78.9926988'), ('TEST_249994 ', 80.9029181, '249994_v80.9029181'), ('TEST_313008 ', 35.9669191, '313008_v35.9669191'), ('TEST_184600 ', 26.9678572, '184600_v26.9678572')]"
TEST_498626 ,115.9693248,498626_v115.9693248,196,195.89881409999998,0.6595180034637451,目標值: 196,結果加總: 195.89881409999998,所用時間: 0.66 秒,"[('TEST_498626 ', 115.9693248, '498626_v115.9693248'), ('TEST_9627   ', 45.9983532, '9627_v45.9983532'), ('TEST_386187 ', 13.9923255, '386187_v13.9923255'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_122493 ,84.9882406,122493_v84.9882406,132,131.8845468,1.4413173198699951,目標值: 132,結果加總: 131.8845468,所用時間: 1.44 秒,"[('TEST_122493 ', 84.9882406, '122493_v84.9882406'), ('TEST_463565 ', 16.9729581, '463565_v16.9729581'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_238513,254.9547528,238513_v254.9547528,1213,1212.7756590000001,2.9053943157196045,目標值: 1213,結果加總: 1212.7756590000001,所用時間: 2.91 秒,"[('TEST_238513', 254.9547528, '238513_v254.9547528'), ('TEST_336136 ', 68.9856077, '336136_v68.9856077'), ('TEST_249994 ', 80.9029181, '249994_v80.9029181'), ('TEST_375379', 807.9323804, '375379_v807.9323804')]"
TEST_245438,647.9928887,245438_v647.9928887,990,989.9195403,1.5914735794067383,目標值: 990,結果加總: 989.9195403,所用時間: 1.59 秒,"[('TEST_245438', 647.9928887, '245438_v647.9928887'), ('TEST_5642   ', 145.9801513, '5642_v145.9801513'), ('TEST_199839 ', 116.9538015, '199839_v116.9538015'), ('TEST_175275 ', 78.9926988, '175275_v78.9926988')]"
TEST_234705,633.984123,234705_v633.984123,771,770.8572899999999,1.2590150833129883,目標值: 771,結果加總: 770.8572899999999,所用時間: 1.26 秒,"[('TEST_234705', 633.984123, '234705_v633.984123'), ('TEST_463565 ', 16.9729581, '463565_v16.9729581'), ('TEST_231073 ', 77.9858418, '231073_v77.9858418'), ('TEST_343053 ', 41.9143671, '343053_v41.9143671')]"
TEST_217416,343.940358,217416_v343.940358,395,394.8483568,0.8174943923950195,目標值: 395,結果加總: 394.8483568,所用時間: 0.82 秒,"[('TEST_217416', 343.940358, '217416_v343.940358'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_9627   ,45.9983532,9627_v45.9983532,1824,1823.8661818,0.6588747501373291,目標值: 1824,結果加總: 1823.8661818,所用時間: 0.66 秒,"[('TEST_9627   ', 45.9983532, '9627_v45.9983532'), ('TEST_463565 ', 16.9729581, '463565_v16.9729581'), ('TEST_27610', 1250.9002465, '27610_v1250.9002465'), ('TEST_126719', 509.994624, '126719_v509.994624')]"
TEST_12586  ,71.9484411,12586_v71.9484411,1147,1146.8390434,0.05585050582885742,目標值: 1147,結果加總: 1146.8390434,所用時間: 0.06 秒,"[('TEST_12586  ', 71.9484411, '12586_v71.9484411'), ('TEST_471409', 371.9024432, '471409_v371.9024432'), ('TEST_372295 ', 167.9915569, '372295_v167.9915569'), ('TEST_487573', 534.9966022, '487573_v534.9966022')]"
TEST_153890,1376.9326467,153890_v1376.9326467,1621,1620.8125805000002,0.9327881336212158,目標值: 1621,結果加總: 1620.8125805000002,所用時間: 0.93 秒,"[('TEST_153890', 1376.9326467, '153890_v1376.9326467'), ('TEST_184272 ', 177.9553731, '184272_v177.9553731'), ('TEST_57601  ', 38.9567035, '57601_v38.9567035'), ('TEST_184600 ', 26.9678572, '184600_v26.9678572')]"
TEST_372295 ,167.9915569,372295_v167.9915569,727,726.9137915,0.21941304206848145,目標值: 727,結果加總: 726.9137915,所用時間: 0.22 秒,"[('TEST_372295 ', 167.9915569, '372295_v167.9915569'), ('TEST_28999', 268.9677637, '28999_v268.9677637'), ('TEST_149432', 211.9686291, '149432_v211.9686291'), ('TEST_231073 ', 77.9858418, '231073_v77.9858418')]"
TEST_476907,1090.9545565,476907_v1090.9545565,1534,1533.8529254,1.3242127895355225,目標值: 1534,結果加總: 1533.8529254,所用時間: 1.32 秒,"[('TEST_476907', 1090.9545565, '476907_v1090.9545565'), ('TEST_21812', 312.9691503, '21812_v312.9691503'), ('TEST_313008 ', 35.9669191, '313008_v35.9669191'), ('TEST_116267 ', 93.9622995, '116267_v93.9622995')]"
TEST_57587,501.9390165,57587_v501.9390165,1666,1665.7701651,0.8439586162567139,目標值: 1666,結果加總: 1665.7701651,所用時間: 0.84 秒,"[('TEST_57587', 501.9390165, '57587_v501.9390165'), ('TEST_434590 ', 132.9470804, '434590_v132.9470804'), ('TEST_9274', 388.9478098, '9274_v388.9478098'), ('TEST_203434', 641.9362584, '203434_v641.9362584')]"
TEST_373600,917.925437,373600_v917.925437,959,958.8791626999999,2.0914154052734375,目標值: 959,結果加總: 958.8791626999999,所用時間: 2.09 秒,"[('TEST_373600', 917.925437, '373600_v917.925437'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507')]"
TEST_187807,339.996313,187807_v339.996313,923,922.7462492,4.3747828006744385,目標值: 923,結果加總: 922.7462492,所用時間: 4.37 秒,"[('TEST_187807', 339.996313, '187807_v339.996313'), ('TEST_249994 ', 80.9029181, '249994_v80.9029181'), ('TEST_25242  ', 85.917553, '25242_v85.917553'), ('TEST_429165', 415.9294651, '429165_v415.9294651')]"
TEST_3051,726.9493985,3051_v726.9493985,911,910.8563297000001,0.11967921257019043,目標值: 911,結果加總: 910.8563297000001,所用時間: 0.12 秒,"[('TEST_3051', 726.9493985, '3051_v726.9493985'), ('TEST_346732 ', 101.9991873, '346732_v101.9991873'), ('TEST_300636 ', 37.9107363, '300636_v37.9107363'), ('TEST_147931 ', 43.9970076, '147931_v43.9970076')]"
TEST_484446,363.9901715,484446_v363.9901715,1410,1409.8282081,4.777256727218628,目標值: 1410,結果加總: 1409.8282081,所用時間: 4.78 秒,"[('TEST_484446', 363.9901715, '484446_v363.9901715'), ('TEST_336164', 911.9065702, '336164_v911.9065702'), ('TEST_12586  ', 71.9484411, '12586_v71.9484411'), ('TEST_354677 ', 61.9830253, '354677_v61.9830253')]"
TEST_467906 ,165.9641553,467906_v165.9641553,746,745.7710426,2.2449686527252197,目標值: 746,結果加總: 745.7710426,所用時間: 2.24 秒,"[('TEST_467906 ', 165.9641553, '467906_v165.9641553'), ('TEST_343053 ', 41.9143671, '343053_v41.9143671'), ('TEST_343053 ', 41.9143671, '343053_v41.9143671'), ('TEST_130361', 495.9781531, '130361_v495.9781531')]"
TEST_81542,1130.9446669,81542_v1130.9446669,1216,1215.9018572,2.534257411956787,目標值: 1216,結果加總: 1215.9018572,所用時間: 2.53 秒,"[('TEST_81542', 1130.9446669, '81542_v1130.9446669'), ('TEST_184600 ', 26.9678572, '184600_v26.9678572'), ('TEST_386187 ', 13.9923255, '386187_v13.9923255'), ('TEST_147931 ', 43.9970076, '147931_v43.9970076')]"
TEST_342462,1038.9456748,342462_v1038.9456748,1618,1617.7636409,1.9826984405517578,目標值: 1618,結果加總: 1617.7636409,所用時間: 1.98 秒,"[('TEST_342462', 1038.9456748, '342462_v1038.9456748'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_363771 ', 46.9010153, '363771_v46.9010153'), ('TEST_232244', 521.9324133, '232244_v521.9324133')]"
TEST_257560,1069.9140146,257560_v1069.9140146,1164,1163.8648757,1.539884090423584,目標值: 1164,結果加總: 1163.8648757,所用時間: 1.54 秒,"[('TEST_257560', 1069.9140146, '257560_v1069.9140146'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507'), ('TEST_9627   ', 45.9983532, '9627_v45.9983532'), ('TEST_184600 ', 26.9678572, '184600_v26.9678572')]"
TEST_265725,238.9830865,265725_v238.9830865,291,290.9549766,1.9687378406524658,目標值: 291,結果加總: 290.9549766,所用時間: 1.97 秒,"[('TEST_265725', 238.9830865, '265725_v238.9830865'), ('TEST_386187 ', 13.9923255, '386187_v13.9923255'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_69899  ', 27.9950271, '69899_v27.9950271')]"
TEST_104847,1145.9924395,104847_v1145.9924395,1246,1245.8689414,1.6126890182495117,目標值: 1246,結果加總: 1245.8689414,所用時間: 1.61 秒,"[('TEST_104847', 1145.9924395, '104847_v1145.9924395'), ('TEST_336136 ', 68.9856077, '336136_v68.9856077'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_351368,888.9947852,351368_v888.9947852,1453,1452.7706924000001,8.021555185317993,目標值: 1453,結果加總: 1452.7706924000001,所用時間: 8.02 秒,"[('TEST_351368', 888.9947852, '351368_v888.9947852'), ('TEST_250415', 348.9453571, '250415_v348.9453571'), ('TEST_324949 ', 123.9090155, '324949_v123.9090155'), ('TEST_357329 ', 90.9215346, '357329_v90.9215346')]"
TEST_336193 ,54.9057942,336193_v54.9057942,104,103.7546916,1.0452070236206055,目標值: 104,結果加總: 103.7546916,所用時間: 1.05 秒,"[('TEST_336193 ', 54.9057942, '336193_v54.9057942'), ('TEST_129102 ', 18.9255493, '129102_v18.9255493'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_455174,215.9221218,455174_v215.9221218,1098,1097.714646,3.213407516479492,目標值: 1098,結果加總: 1097.714646,所用時間: 3.21 秒,"[('TEST_455174', 215.9221218, '455174_v215.9221218'), ('TEST_454359 ', 92.9236325, '454359_v92.9236325'), ('TEST_296370', 315.9201878, '296370_v315.9201878'), ('TEST_420996', 472.9487039, '420996_v472.9487039')]"
TEST_187807,339.996313,187807_v339.996313,1136,1135.8043877,1.7862255573272705,目標值: 1136,結果加總: 1135.8043877,所用時間: 1.79 秒,"[('TEST_187807', 339.996313, '187807_v339.996313'), ('TEST_208413', 677.9250753, '208413_v677.9250753'), ('TEST_458234 ', 44.9459119, '458234_v44.9459119'), ('TEST_314267 ', 72.9370875, '314267_v72.9370875')]"
TEST_410233,305.9154589,410233_v305.9154589,1450,1449.7817031,2.5561678409576416,目標值: 1450,結果加總: 1449.7817031,所用時間: 2.56 秒,"[('TEST_410233', 305.9154589, '410233_v305.9154589'), ('TEST_493861 ', 141.9565805, '493861_v141.9565805'), ('TEST_68629', 547.994297, '68629_v547.994297'), ('TEST_22766', 453.9153667, '22766_v453.9153667')]"
TEST_40743  ,153.9239657,40743_v153.9239657,438,437.805458,0.7878937721252441,目標值: 438,結果加總: 437.805458,所用時間: 0.79 秒,"[('TEST_40743  ', 153.9239657, '40743_v153.9239657'), ('TEST_324949 ', 123.9090155, '324949_v123.9090155'), ('TEST_386187 ', 13.9923255, '386187_v13.9923255'), ('TEST_5642   ', 145.9801513, '5642_v145.9801513')]"
TEST_351368,888.9947852,351368_v888.9947852,1185,1184.8405361,4.653558969497681,目標值: 1185,結果加總: 1184.8405361,所用時間: 4.65 秒,"[('TEST_351368', 888.9947852, '351368_v888.9947852'), ('TEST_354779', 237.992652, '354779_v237.992652'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_363771 ', 46.9010153, '363771_v46.9010153')]"
TEST_367959 ,181.9762309,367959_v181.9762309,256,255.76215209999998,1.5029816627502441,目標值: 256,結果加總: 255.76215209999998,所用時間: 1.50 秒,"[('TEST_367959 ', 181.9762309, '367959_v181.9762309'), ('TEST_129102 ', 18.9255493, '129102_v18.9255493'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106'), ('TEST_42979  ', 34.9215613, '42979_v34.9215613')]"
TEST_354677 ,61.9830253,354677_v61.9830253,1994,1993.8768736,0.12067723274230957,目標值: 1994,結果加總: 1993.8768736,所用時間: 0.12 秒,"[('TEST_354677 ', 61.9830253, '354677_v61.9830253'), ('TEST_103613', 717.9620043, '103613_v717.9620043'), ('TEST_313008 ', 35.9669191, '313008_v35.9669191'), ('TEST_211741', 1177.9649249, '211741_v1177.9649249')]"
TEST_497012,806.9806057,497012_v806.9806057,1718,1717.8606588999999,2.0156137943267822,目標值: 1718,結果加總: 1717.8606588999999,所用時間: 2.02 秒,"[('TEST_497012', 806.9806057, '497012_v806.9806057'), ('TEST_3417', 586.9586995, '3417_v586.9586995'), ('TEST_13472', 250.9842662, '13472_v250.9842662'), ('TEST_314267 ', 72.9370875, '314267_v72.9370875')]"
TEST_300636 ,37.9107363,300636_v37.9107363,1875,1874.8045416999998,0.06781840324401855,目標值: 1875,結果加總: 1874.8045416999998,所用時間: 0.07 秒,"[('TEST_300636 ', 37.9107363, '300636_v37.9107363'), ('TEST_401090', 410.9696718, '401090_v410.9696718'), ('TEST_37191', 324.9646755, '37191_v324.9646755'), ('TEST_357364', 1100.9594581, '357364_v1100.9594581')]"
TEST_23205,958.9962822,23205_v958.9962822,1882,1881.9027114,0.5106356143951416,目標值: 1882,結果加總: 1881.9027114,所用時間: 0.51 秒,"[('TEST_23205', 958.9962822, '23205_v958.9962822'), ('TEST_199839 ', 116.9538015, '199839_v116.9538015'), ('TEST_316610', 663.9960472, '316610_v663.9960472'), ('TEST_493861 ', 141.9565805, '493861_v141.9565805')]"
